what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1337916902038
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r371_v20110824-0800,"org.eclipse.ltk.core.refactoring",1337916902039
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1337916902065
started,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1337916902066
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.2.v20110903-0100,"org.eclipse.mylyn.bugzilla.core",1337916902068
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1337916902069
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1337916902070
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1337916902070
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1337916902070
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1337916902071
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1337916902072
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1337916902073
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1337916902119
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1337916902120
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1337916902126
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1337916902170
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1337916902170
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1337916902189
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1337916902205
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1337916902206
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1337916902207
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1337916902207
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1337916902208
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1337916902290
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1337916902291
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1337916902293
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1337916902294
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1337916902294
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1337916902306
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1337916902627
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1337916902629
started,bundle,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core",1337916902735
started,bundle,org.eclipse.wb.core.lib,1.1.0.r37x201109091012,"org.eclipse.wb.core.lib",1337916902818
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1337916902820
os,sysinfo,,,"win32",1337916902826
arch,sysinfo,,,"x86_64",1337916902826
ws,sysinfo,,,"win32",1337916902826
locale,sysinfo,,,"en_US",1337916902826
processors,sysinfo,,,"2",1337916902826
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1337916902826
java.runtime.version,sysinfo,,,"1.7.0_01-b08",1337916902826
java.specification.name,sysinfo,,,"Java Platform API Specification",1337916902826
java.specification.vendor,sysinfo,,,"Oracle Corporation",1337916902826
java.specification.version,sysinfo,,,"1.7",1337916902826
java.vendor,sysinfo,,,"Oracle Corporation",1337916902826
java.version,sysinfo,,,"1.7.0_01",1337916902826
java.vm.info,sysinfo,,,"mixed mode",1337916902826
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1337916902826
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1337916902826
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1337916902826
java.vm.specification.version,sysinfo,,,"1.7",1337916902826
java.vm.vendor,sysinfo,,,"Oracle Corporation",1337916902826
java.vm.version,sysinfo,,,"21.1-b02",1337916902826
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1337916903218
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1337916904368
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1337916904583
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337916906419
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337916959316
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337916961704
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337917204317
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1337917207488
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337917209985
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337917297709
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1337917299998
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1337917301565
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1337917306072
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1337917307753
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337917309029
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337917378798
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1337917380660
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337917402285
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337917402424
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337917403608
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337917403764
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337917404365
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337917433231
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1337917433240
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1337917436054
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337917443404
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337917752968
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337917763757
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337917833127
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337917839190
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337917843878
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337917845821
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337917960008
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1337917961649
activated,view,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1337917976912
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1337917976966
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1337917979405
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1337917979438
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1337917989914
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1337917997014
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1337917997134
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1337917997222
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1337917997239
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337918007821
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337918007977
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337918178992
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337918209230
activated,view,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1337918220936
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337918223570
started,bundle,org.eclipse.equinox.p2.ui,2.1.0.v20110601,"org.eclipse.equinox.p2.ui",1337918227135
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk",1337918227216
started,bundle,org.eclipse.equinox.p2.transport.ecf,1.0.0.v20110510,"org.eclipse.equinox.p2.transport.ecf",1337918227641
started,bundle,org.eclipse.ecf.filetransfer,5.0.0.v20110531-2218,"org.eclipse.ecf.filetransfer",1337918227692
started,bundle,org.eclipse.ecf.identity,3.1.100.v20110531-2218,"org.eclipse.ecf.identity",1337918227713
started,bundle,org.eclipse.ecf,3.1.300.v20110531-2218,"org.eclipse.ecf",1337918227768
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer.httpclient",1337918227843
started,bundle,org.eclipse.ecf.provider.filetransfer,3.2.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer",1337918227863
executed,command,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui.discoveryWizardCommand",1337918251478
started,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.5.0.v20110608-1400,"org.eclipse.mylyn.wikitext.tasks.ui",1337918253868
started,bundle,org.eclipse.mylyn.wikitext.ui,1.5.0.v20110608-1400,"org.eclipse.mylyn.wikitext.ui",1337918253884
started,bundle,org.eclipse.mylyn.wikitext.core,1.5.1.v20110720-0100,"org.eclipse.mylyn.wikitext.core",1337918253915
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337918256574
executed,command,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui.command.addTaskRepository",1337918256583
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337918259518
executed,command,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui.command.addTaskRepository",1337918267097
started,bundle,org.eclipse.ui.navigator,3.5.100.v20110809-2227,"org.eclipse.ui.navigator",1337918273022
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1337918273421
started,bundle,org.eclipse.egit.mylyn.ui,1.1.0.201109151100-r,"org.eclipse.egit.mylyn.ui",1337918273466
opened,editor,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui.editors.task",1337918273507
activated,editor,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui.editors.task",1337918273553
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337918273593
